Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
60,11,4,151,5,Some Random Commen with Id 60
61,11,4,115,5,Some Random Commen with Id 61
62,11,4,129,2,Some Random Commen with Id 62
63,12,1,133,1,Some Random Commen with Id 63
64,12,1,159,3,Some Random Commen with Id 64
65,13,8,106,3,Some Random Commen with Id 65
66,13,8,112,8,Some Random Commen with Id 66
67,13,8,131,2,Some Random Commen with Id 67
68,13,8,116,4,Some Random Commen with Id 68
69,13,8,34,9,Some Random Commen with Id 69
70,13,8,63,8,Some Random Commen with Id 70
71,13,8,158,4,Some Random Commen with Id 71
72,13,8,183,6,Some Random Commen with Id 72
73,15,2,197,8,Some Random Commen with Id 73
74,15,2,31,8,Some Random Commen with Id 74
75,16,7,35,6,Some Random Commen with Id 75
76,16,7,3,8,Some Random Commen with Id 76
77,16,7,104,0,Some Random Commen with Id 77
78,16,7,110,4,Some Random Commen with Id 78
79,16,7,48,2,Some Random Commen with Id 79
80,17,7,143,0,Some Random Commen with Id 80
81,17,7,19,8,Some Random Commen with Id 81
82,17,7,150,8,Some Random Commen with Id 82
83,17,7,183,6,Some Random Commen with Id 83
84,17,7,172,9,Some Random Commen with Id 84
85,17,7,32,5,Some Random Commen with Id 85
86,17,7,7,8,Some Random Commen with Id 86
87,17,7,128,9,Some Random Commen with Id 87
88,18,2,128,4,Some Random Commen with Id 88
89,18,2,5,9,Some Random Commen with Id 89
90,18,2,10,0,Some Random Commen with Id 90
91,18,2,175,3,Some Random Commen with Id 91
92,18,2,114,9,Some Random Commen with Id 92
93,18,2,4,2,Some Random Commen with Id 93
94,19,5,55,9,Some Random Commen with Id 94
95,20,6,115,3,Some Random Commen with Id 95
96,20,6,165,9,Some Random Commen with Id 96
97,20,6,103,8,Some Random Commen with Id 97
98,20,6,133,8,Some Random Commen with Id 98
99,20,6,59,9,Some Random Commen with Id 99
100,20,6,66,8,Some Random Commen with Id 100
101,20,6,0,0,Some Random Commen with Id 101
102,21,4,62,0,Some Random Commen with Id 102
103,21,4,183,1,Some Random Commen with Id 103
104,21,4,103,0,Some Random Commen with Id 104
105,21,4,73,6,Some Random Commen with Id 105
106,21,4,80,6,Some Random Commen with Id 106
107,21,4,125,3,Some Random Commen with Id 107
108,22,8,148,3,Some Random Commen with Id 108
109,22,8,33,8,Some Random Commen with Id 109
110,22,8,163,1,Some Random Commen with Id 110
111,22,8,68,2,Some Random Commen with Id 111
112,23,1,193,7,Some Random Commen with Id 112
113,23,1,13,9,Some Random Commen with Id 113
114,23,1,68,6,Some Random Commen with Id 114
115,23,1,198,5,Some Random Commen with Id 115
116,23,1,154,8,Some Random Commen with Id 116
117,24,6,147,7,Some Random Commen with Id 117
118,24,6,96,0,Some Random Commen with Id 118
119,24,6,154,0,Some Random Commen with Id 119
120,24,6,106,5,Some Random Commen with Id 120
121,24,6,191,3,Some Random Commen with Id 121
122,25,7,189,2,Some Random Commen with Id 122
123,25,7,62,2,Some Random Commen with Id 123
124,25,7,55,2,Some Random Commen with Id 124
125,25,7,83,8,Some Random Commen with Id 125
126,25,7,102,9,Some Random Commen with Id 126
127,25,7,94,9,Some Random Commen with Id 127
128,25,7,102,5,Some Random Commen with Id 128
129,25,7,131,1,Some Random Commen with Id 129
130,26,4,135,8,Some Random Commen with Id 130
131,26,4,198,0,Some Random Commen with Id 131
132,27,9,11,1,Some Random Commen with Id 132
133,27,9,8,3,Some Random Commen with Id 133
134,27,9,150,9,Some Random Commen with Id 134
135,27,9,150,5,Some Random Commen with Id 135
136,27,9,131,9,Some Random Commen with Id 136
137,27,9,130,2,Some Random Commen with Id 137
138,27,9,172,5,Some Random Commen with Id 138
139,27,9,27,6,Some Random Commen with Id 139
140,28,9,128,1,Some Random Commen with Id 140
141,28,9,107,7,Some Random Commen with Id 141
142,28,9,101,9,Some Random Commen with Id 142
143,28,9,190,2,Some Random Commen with Id 143
144,28,9,72,7,Some Random Commen with Id 144
145,28,9,22,3,Some Random Commen with Id 145
146,28,9,194,1,Some Random Commen with Id 146
147,28,9,121,3,Some Random Commen with Id 147
148,28,9,17,6,Some Random Commen with Id 148
149,29,8,81,5,Some Random Commen with Id 149
150,29,8,174,7,Some Random Commen with Id 150
151,29,8,146,0,Some Random Commen with Id 151
152,29,8,31,1,Some Random Commen with Id 152
153,29,8,133,2,Some Random Commen with Id 153
154,29,8,107,5,Some Random Commen with Id 154
155,29,8,49,1,Some Random Commen with Id 155
156,30,7,42,0,Some Random Commen with Id 156
157,30,7,13,9,Some Random Commen with Id 157
158,30,7,81,8,Some Random Commen with Id 158
159,30,7,181,2,Some Random Commen with Id 159
160,30,7,142,4,Some Random Commen with Id 160
161,30,7,80,2,Some Random Commen with Id 161
162,30,7,34,4,Some Random Commen with Id 162
163,31,3,1,8,Some Random Commen with Id 163
164,31,3,194,6,Some Random Commen with Id 164
165,31,3,108,6,Some Random Commen with Id 165
166,31,3,53,7,Some Random Commen with Id 166
167,31,3,5,1,Some Random Commen with Id 167
168,32,2,35,3,Some Random Commen with Id 168
169,33,9,62,1,Some Random Commen with Id 169
170,33,9,176,3,Some Random Commen with Id 170
171,33,9,108,7,Some Random Commen with Id 171
172,34,3,26,9,Some Random Commen with Id 172
173,34,3,139,0,Some Random Commen with Id 173
174,34,3,54,3,Some Random Commen with Id 174
175,34,3,122,2,Some Random Commen with Id 175
176,34,3,105,1,Some Random Commen with Id 176
177,34,3,44,6,Some Random Commen with Id 177
178,35,4,160,2,Some Random Commen with Id 178
179,35,4,69,2,Some Random Commen with Id 179
180,35,4,75,3,Some Random Commen with Id 180
181,35,4,179,9,Some Random Commen with Id 181
182,35,4,149,4,Some Random Commen with Id 182
183,35,4,19,7,Some Random Commen with Id 183
184,36,0,198,7,Some Random Commen with Id 184
185,36,0,93,3,Some Random Commen with Id 185
186,36,0,16,5,Some Random Commen with Id 186
187,36,0,119,5,Some Random Commen with Id 187
188,37,3,101,8,Some Random Commen with Id 188
189,37,3,53,7,Some Random Commen with Id 189
190,37,3,119,1,Some Random Commen with Id 190
191,37,3,153,3,Some Random Commen with Id 191
192,37,3,85,9,Some Random Commen with Id 192
193,37,3,171,1,Some Random Commen with Id 193
194,38,2,165,7,Some Random Commen with Id 194
195,38,2,30,1,Some Random Commen with Id 195
196,38,2,135,2,Some Random Commen with Id 196
197,38,2,184,3,Some Random Commen with Id 197
198,38,2,27,0,Some Random Commen with Id 198
199,38,2,101,2,Some Random Commen with Id 199
200,38,2,158,2,Some Random Commen with Id 200
201,38,2,39,0,Some Random Commen with Id 201
202,39,9,85,1,Some Random Commen with Id 202
203,39,9,154,4,Some Random Commen with Id 203
204,39,9,153,3,Some Random Commen with Id 204
205,39,9,69,1,Some Random Commen with Id 205
206,39,9,184,9,Some Random Commen with Id 206
207,39,9,10,7,Some Random Commen with Id 207
208,39,9,68,4,Some Random Commen with Id 208
